problem,size,seed,n_units,n_test_units,units_per_param,psi,J,var,G_test,G_train,a_domain,a_test,loss_upper,c_domain,t_max_domain,c_test,t_max_test,hoeffding_at_1,outside_support,fold,prior_std,J_softmax_N1,n_cert_units,bound,continuous_bound,selected,J_max
quartic,10.0,2,10,2000,2.0,PAC hyperposterior,1.5712398694423781,,,,1.1647322565613014,,,,,,,,0.0,1.0,0.125,1.5717990308343937,5.0,9.569608566018086,9.45936488742472,,
quartic,10.0,2,10,2000,2.0,PAC hyperprior,1.5705848220227194,,,,,,,,,,,,,1.0,0.125,1.5709949831627275,5.0,,,True,1.6378998568923109
quartic,10.0,2,10,2000,2.0,PAC hyperprior,1.5827103798814273,,,,,,,,,,,,,1.0,0.25,1.5889029596685296,5.0,,,False,1.8394698005145198
quartic,10.0,2,10,2000,2.0,PAC hyperprior,1.606186350261083,,,,,,,,,,,,,1.0,0.5,1.6306614469943503,5.0,,,False,2.1037883697709123
quartic,10.0,2,10,2000,2.0,PAC hyperprior,1.6299417779813312,,,,,,,,,,,,,1.0,1.0,1.7175570638258542,5.0,,,False,2.4063967542447404
quartic,10.0,3,10,2000,2.0,fitted ellipse,0.807735903363584,1.046114709809435,4.632665471044346,4.293871381685431,-6.905973558232357,0.6092119396910606,9.680344001221918,3.8462130097589005,0.2599960006018192,1.341151177117762,0.7456280970122083,34.38824127288266,0.0,,,,,,,,
quartic,10.0,3,10,2000,2.0,PAC hyperposterior,0.7989128177253071,,,,1.1647322565613014,,,,,,,,0.01069287109375,0.0,0.5,0.8713236158479487,5.0,9.658231499080298,9.605705381907976,,
quartic,10.0,3,10,2000,2.0,PAC hyperprior,0.6950460947334469,,,,,,,,,,,,,0.0,0.125,0.6964862771891822,5.0,,,False,0.7929162234681293
quartic,10.0,3,10,2000,2.0,PAC hyperprior,0.7048583166633055,,,,,,,,,,,,,0.0,0.25,0.7127016204878766,5.0,,,False,0.9521396877329771
quartic,10.0,3,10,2000,2.0,PAC hyperprior,0.7588933411972041,,,,,,,,,,,,,0.0,0.5,0.8191713611624601,5.0,,,True,1.5339551247672052
quartic,10.0,3,10,2000,2.0,PAC hyperprior,0.8677681240460802,,,,,,,,,,,,,0.0,1.0,1.4683233926134642,5.0,,,False,2.638276308042812
quartic,10.0,3,10,2000,2.0,PAC hyperposterior,1.6758234825733,,,,1.1647322565613014,,,,,,,,0.01070751953125,1.0,0.5,1.7472364594557122,5.0,9.658231499080298,9.605705381907976,,
quartic,10.0,3,10,2000,2.0,PAC hyperprior,1.6462357220085968,,,,,,,,,,,,,1.0,0.125,1.648612148804834,5.0,,,False,1.7572685971671742
quartic,10.0,3,10,2000,2.0,PAC hyperprior,1.6608062180440144,,,,,,,,,,,,,1.0,0.25,1.6710406261623896,5.0,,,False,1.8567374061192243
quartic,10.0,3,10,2000,2.0,PAC hyperprior,1.7151869769150216,,,,,,,,,,,,,1.0,0.5,1.7567008858615807,5.0,,,True,2.21943269925616
quartic,10.0,3,10,2000,2.0,PAC hyperprior,1.8927010397565962,,,,,,,,,,,,,1.0,1.0,2.231626691329674,5.0,,,False,3.1066970237728135
quartic,10.0,4,10,2000,2.0,fitted ellipse,1.209594855443168,2.85856124555714,4.973956956766793,4.511377137383479,-6.905973558232357,0.6106242097139352,9.680344001221918,3.95997683833305,0.2525267295303044,1.4544442490176195,0.6875478387538289,34.38824127288266,0.0,,,,,,,,
quartic,10.0,4,10,2000,2.0,PAC hyperposterior,0.6496894853745283,,,,1.1647322565613014,,,,,,,,0.02441357421875,0.0,1.0,1.0925012092987378,5.0,9.624590918252018,9.550423913546489,,
quartic,10.0,4,10,2000,2.0,PAC hyperprior,0.637686370506507,,,,,,,,,,,,,0.0,0.125,0.6409457824636275,5.0,,,False,0.7794828952001627
quartic,10.0,4,10,2000,2.0,PAC hyperprior,0.6385754042264142,,,,,,,,,,,,,0.0,0.25,0.6514362951827086,5.0,,,False,0.9417741980587397
quartic,10.0,4,10,2000,2.0,PAC hyperprior,0.650616143323109,,,,,,,,,,,,,0.0,0.5,0.6982784608227958,5.0,,,False,1.121761259101138
quartic,10.0,4,10,2000,2.0,PAC hyperprior,0.696888142265609,,,,,,,,,,,,,0.0,1.0,1.0848989688977762,5.0,,,True,2.108288352931373
quartic,10.0,4,10,2000,2.0,PAC hyperposterior,0.858345592838339,,,,1.1647322565613014,,,,,,,,0.09788623046875,1.0,1.0,1.427287618689316,5.0,9.624590918252018,9.550423913546489,,
quartic,10.0,4,10,2000,2.0,PAC hyperprior,1.7188813009247395,,,,,,,,,,,,,1.0,0.125,1.7726461594342204,5.0,,,False,2.2945987293497154
quartic,10.0,4,10,2000,2.0,PAC hyperprior,1.7318960391481557,,,,,,,,,,,,,1.0,0.25,2.0771450808604235,5.0,,,False,2.9198041580061584
quartic,10.0,4,10,2000,2.0,PAC hyperprior,1.6716248630044237,,,,,,,,,,,,,1.0,0.5,2.5539546883917055,5.0,,,False,3.3485424226776335
quartic,10.0,4,10,2000,2.0,PAC hyperprior,1.4571949383373362,,,,,,,,,,,,,1.0,1.0,3.1000739487286912,5.0,,,True,3.9842764008609155
quartic,10.0,5,10,2000,2.0,fitted ellipse,1.6678336205714483,1.994389858608843,4.958560618358644,3.9583849165760574,-6.905973558232357,-0.29743556857618497,9.680344001221918,3.9548447255303336,0.2528544277717257,1.7519987289782764,0.570776669788554,34.38824127288266,0.0,,,,,,,,
quartic,10.0,5,10,2000,2.0,PAC hyperposterior,2.9265603459397975,,,,1.1647322565613014,,,,,,,,0.17389990234375,0.0,1.0,3.469694461740783,5.0,9.61739748351853,9.558417932628636,,
quartic,10.0,5,10,2000,2.0,PAC hyperprior,4.996477173947223,,,,,,,,,,,,,0.0,0.125,4.996477174589439,5.0,,,False,4.996507631256495
quartic,10.0,5,10,2000,2.0,PAC hyperprior,4.996470075345771,,,,,,,,,,,,,0.0,0.25,4.996470078708157,5.0,,,False,4.996540427569718
quartic,10.0,5,10,2000,2.0,PAC hyperprior,4.9964255729745695,,,,,,,,,,,,,0.0,0.5,4.996425630470488,5.0,,,False,4.996547836756548
quartic,10.0,5,10,2000,2.0,PAC hyperprior,4.996088105277687,,,,,,,,,,,,,0.0,1.0,4.996092214095099,5.0,,,True,4.996556803110963
quartic,10.0,5,10,2000,2.0,PAC hyperposterior,0.6546708512013928,,,,1.1647322565613014,,,,,,,,0.0312666015625,1.0,0.5,0.793467595877401,5.0,9.61739748351853,9.558417932628636,,
quartic,10.0,5,10,2000,2.0,PAC hyperprior,0.5533385799947619,,,,,,,,,,,,,1.0,0.125,0.5539452847920556,5.0,,,False,0.628592794474482
quartic,10.0,5,10,2000,2.0,PAC hyperprior,0.5570866727687667,,,,,,,,,,,,,1.0,0.25,0.5604700828570364,5.0,,,False,0.7314512622361864
quartic,10.0,5,10,2000,2.0,PAC hyperprior,0.5838823345424874,,,,,,,,,,,,,1.0,0.5,0.6124701614867172,5.0,,,True,1.2024891683098744
quartic,10.0,5,10,2000,2.0,PAC hyperprior,0.6982661894074986,,,,,,,,,,,,,1.0,1.0,1.4817178701768912,5.0,,,False,2.6603649788068964
quartic,10.0,6,10,2000,2.0,fitted ellipse,0.6376326144834081,1.6517268069675857,5.0516006348171825,4.260143306872934,-6.905973558232357,1.5253346644531482,9.680344001221918,3.9858580643498462,0.2508870069770322,1.1754219901213447,0.8507582880057952,34.38824127288266,0.016,,,,,,,,
quartic,10.0,6,10,2000,2.0,PAC hyperposterior,1.1087495061079597,,,,1.1647322565613014,,,,,,,,0.03947802734375,0.0,1.0,1.9967761894631146,5.0,9.612976176932868,9.529648285938396,,
quartic,10.0,6,10,2000,2.0,PAC hyperprior,0.9304695377055394,,,,,,,,,,,,,0.0,0.125,0.9314603081263668,5.0,,,False,0.9856770537839381
quartic,10.0,6,10,2000,2.0,PAC hyperprior,0.9358277858920498,,,,,,,,,,,,,0.0,0.25,0.9392901818367454,5.0,,,False,1.08030586677717
quartic,10.0,6,10,2000,2.0,PAC hyperprior,0.9711309841717528,,,,,,,,,,,,,0.0,0.5,0.9929589477237742,5.0,,,False,1.382157143230021
quartic,10.0,6,10,2000,2.0,PAC hyperprior,1.0774494864656345,,,,,,,,,,,,,0.0,1.0,1.4275644003260253,5.0,,,True,2.5634050808183826
quartic,10.0,6,10,2000,2.0,PAC hyperposterior,0.8362675958421597,,,,1.1647322565613014,,,,,,,,0.00262060546875,1.0,0.5,0.9527289486110183,5.0,9.612976176932868,9.529648285938396,,
quartic,10.0,6,10,2000,2.0,PAC hyperprior,0.7804175888258482,,,,,,,,,,,,,1.0,0.125,0.7868971808172682,5.0,,,False,0.94653557977181
quartic,10.0,6,10,2000,2.0,PAC hyperprior,0.7709950209544257,,,,,,,,,,,,,1.0,0.25,0.7944660830613243,5.0,,,False,1.0940580733494638
quartic,10.0,6,10,2000,2.0,PAC hyperprior,0.8014717897222154,,,,,,,,,,,,,1.0,0.5,0.9477473148540125,5.0,,,True,1.6309795814176855
quartic,10.0,6,10,2000,2.0,PAC hyperprior,0.8565002303549342,,,,,,,,,,,,,1.0,1.0,2.0229003424425747,5.0,,,False,3.2616555740645765
quartic,10.0,7,10,2000,2.0,fitted ellipse,1.9618591177851474,6.729244227853475,5.955207381138572,2.993776939107968,-6.905973558232357,1.0523840728743876,9.680344001221918,4.287060313123643,0.23326007262803794,1.6342744360880614,0.6118923345540943,34.38824127288266,0.2675,,,,,,,,
quartic,10.0,7,10,2000,2.0,PAC hyperposterior,0.6405230379522704,,,,1.1647322565613014,,,,,,,,7.6171875e-05,0.0,0.125,0.6423411346724807,5.0,9.574826716354046,9.467206918025436,,
quartic,10.0,7,10,2000,2.0,PAC hyperprior,0.6403525862998649,,,,,,,,,,,,,0.0,0.125,0.6420176708895118,5.0,,,True,0.7791086086790386
quartic,10.0,7,10,2000,2.0,PAC hyperprior,0.6615222136407234,,,,,,,,,,,,,0.0,0.25,0.6737353869129299,5.0,,,False,0.9147469463234383
quartic,10.0,7,10,2000,2.0,PAC hyperprior,0.699952416791474,,,,,,,,,,,,,0.0,0.5,0.7910403311781158,5.0,,,False,1.6067828611958053
quartic,10.0,7,10,2000,2.0,PAC hyperprior,0.8086805481970475,,,,,,,,,,,,,0.0,1.0,1.3292972416953348,5.0,,,False,2.247714594080179
quartic,10.0,7,10,2000,2.0,PAC hyperposterior,1.1701362464195992,,,,1.1647322565613014,,,,,,,,0.00102099609375,1.0,1.0,1.2112229942696844,5.0,9.574826716354046,9.467206918025436,,
quartic,10.0,7,10,2000,2.0,PAC hyperprior,1.633158266171388,,,,,,,,,,,,,1.0,0.125,1.6682573292661786,5.0,,,False,2.065917538177162
quartic,10.0,7,10,2000,2.0,PAC hyperprior,1.6636216321100643,,,,,,,,,,,,,1.0,0.25,1.8334392396736683,5.0,,,False,2.4894802091130845
quartic,10.0,7,10,2000,2.0,PAC hyperprior,1.6988696012510376,,,,,,,,,,,,,1.0,0.5,2.4544409429307903,5.0,,,False,3.5659819556985948
quartic,10.0,7,10,2000,2.0,PAC hyperprior,1.9205248606718204,,,,,,,,,,,,,1.0,1.0,3.45311016526028,5.0,,,True,4.563563613062017
quartic,10.0,8,10,2000,2.0,fitted ellipse,1.1969864946074136,2.182770117614006,4.937336676744006,4.061024396653279,-6.905973558232357,0.8093084970465978,9.680344001221918,3.9477700783254543,0.25330755848480796,1.3760093932324693,0.7267392249778454,34.38824127288266,0.0335,,,,,,,,
quartic,10.0,8,10,2000,2.0,PAC hyperposterior,2.0378728002790734,,,,1.1647322565613014,,,,,,,,0.06203369140625,0.0,0.125,2.0625369633658117,5.0,9.514356619540647,9.397967491835654,,
quartic,10.0,8,10,2000,2.0,PAC hyperprior,2.0427319365391794,,,,,,,,,,,,,0.0,0.125,2.069155034442173,5.0,,,True,2.3450132886827255
quartic,10.0,8,10,2000,2.0,PAC hyperprior,2.038679057968968,,,,,,,,,,,,,0.0,0.25,2.148397824479685,5.0,,,False,2.6438299675992702
quartic,10.0,8,10,2000,2.0,PAC hyperprior,2.0297107266349403,,,,,,,,,,,,,0.0,0.5,2.3124243020582007,5.0,,,False,2.9412216845412384
quartic,10.0,8,10,2000,2.0,PAC hyperprior,2.002733508907534,,,,,,,,,,,,,0.0,1.0,2.629143213404691,5.0,,,False,3.5959390852659308
quartic,10.0,8,10,2000,2.0,PAC hyperposterior,0.5920170518147354,,,,1.1647322565613014,,,,,,,,0.0,1.0,0.125,0.5959476384729699,5.0,9.514356619540647,9.397967491835654,,
quartic,10.0,8,10,2000,2.0,PAC hyperprior,0.5936434548155906,,,,,,,,,,,,,1.0,0.125,0.5976443124599877,5.0,,,True,0.7928854062603641
quartic,10.0,8,10,2000,2.0,PAC hyperprior,0.606932605466844,,,,,,,,,,,,,1.0,0.25,0.6262160233305194,5.0,,,False,0.965545472322523
quartic,10.0,8,10,2000,2.0,PAC hyperprior,0.636711273208409,,,,,,,,,,,,,1.0,0.5,0.7914936682130511,5.0,,,False,1.5578284924304615
quartic,10.0,8,10,2000,2.0,PAC hyperprior,0.7133438606277824,,,,,,,,,,,,,1.0,1.0,1.4547127954679189,5.0,,,False,2.3179079702063916
quartic,10.0,9,10,2000,2.0,fitted ellipse,3.494960366105902,4.803741621447641,6.127260175427912,4.761372706799152,-6.905973558232357,-1.3965430807222783,9.680344001221918,4.344411244553423,0.23018078715584245,2.50793441871673,0.39873450937831306,34.38824127288266,0.0,,,,,,,,
quartic,10.0,9,10,2000,2.0,PAC hyperposterior,1.9850779507403178,,,,1.1647322565613014,,,,,,,,0.0,0.0,0.125,1.9873555701581012,5.0,9.614394013196158,9.526478507751767,,
quartic,10.0,9,10,2000,2.0,PAC hyperprior,1.9852946079491984,,,,,,,,,,,,,0.0,0.125,1.9876025320623512,5.0,,,True,2.096106694394132
quartic,10.0,9,10,2000,2.0,PAC hyperprior,1.9861924858609066,,,,,,,,,,,,,0.0,0.25,1.994030397826468,5.0,,,False,2.157771507155905
quartic,10.0,9,10,2000,2.0,PAC hyperprior,1.9964485043578666,,,,,,,,,,,,,0.0,0.5,2.0241389554701463,5.0,,,False,2.284067348422054
quartic,10.0,9,10,2000,2.0,PAC hyperprior,2.0894369080235027,,,,,,,,,,,,,0.0,1.0,2.186832993722773,5.0,,,False,2.6945241775086988
quartic,10.0,9,10,2000,2.0,PAC hyperposterior,1.0611237093114028,,,,1.1647322565613014,,,,,,,,0.05719482421875,1.0,1.0,1.3773099632707189,5.0,9.614394013196158,9.526478507751767,,
quartic,10.0,9,10,2000,2.0,PAC hyperprior,0.9274088389218669,,,,,,,,,,,,,1.0,0.125,0.9297179246187218,5.0,,,False,1.0167112107025016
quartic,10.0,9,10,2000,2.0,PAC hyperprior,0.9285545533851349,,,,,,,,,,,,,1.0,0.25,0.9356457278090969,5.0,,,False,1.107579169519882
quartic,10.0,9,10,2000,2.0,PAC hyperprior,0.9567293977694974,,,,,,,,,,,,,1.0,0.5,0.9882003067943133,5.0,,,False,1.5794587885394051
quartic,10.0,9,10,2000,2.0,PAC hyperprior,1.0351579036559018,,,,,,,,,,,,,1.0,1.0,1.2489106707036017,5.0,,,True,2.122019741780898
quartic,10.0,10,10,2000,2.0,fitted ellipse,1.5028285862505886,1.6590246465645213,4.758274730482066,4.080242333501443,-6.905973558232357,-1.6497980637678924,9.680344001221918,3.888082762904807,0.25719617121856087,2.1360242647499863,0.4681594757618759,34.38824127288266,0.0,,,,,,,,
quartic,10.0,10,10,2000,2.0,PAC hyperposterior,0.598252292859734,,,,1.1647322565613014,,,,,,,,0.0359580078125,0.0,1.0,0.738584125127925,5.0,9.617188076737726,9.533804846763934,,
quartic,10.0,10,10,2000,2.0,PAC hyperprior,0.5955093351440754,,,,,,,,,,,,,0.0,0.125,0.5967931930051238,5.0,,,False,0.6738034759859062
quartic,10.0,10,10,2000,2.0,PAC hyperprior,0.5984188149351752,,,,,,,,,,,,,0.0,0.25,0.6038913544470033,5.0,,,False,0.7380322418971854
quartic,10.0,10,10,2000,2.0,PAC hyperprior,0.6069152802243861,,,,,,,,,,,,,0.0,0.5,0.624233260875649,5.0,,,False,0.8177721699960045
quartic,10.0,10,10,2000,2.0,PAC hyperprior,0.6206733138310647,,,,,,,,,,,,,0.0,1.0,0.6800372712241012,5.0,,,True,1.4845753533143409
quartic,10.0,10,10,2000,2.0,PAC hyperposterior,0.6967371382617781,,,,1.1647322565613014,,,,,,,,4.150390625e-05,1.0,0.25,0.6991243033776209,5.0,9.617188076737726,9.533804846763934,,
quartic,10.0,10,10,2000,2.0,PAC hyperprior,0.6842425599857846,,,,,,,,,,,,,1.0,0.125,0.6843698211592765,5.0,,,False,0.7309073833728768
quartic,10.0,10,10,2000,2.0,PAC hyperprior,0.6914840717055172,,,,,,,,,,,,,1.0,0.25,0.6928857402435957,5.0,,,True,0.8874473867646859
quartic,10.0,10,10,2000,2.0,PAC hyperprior,0.745643358022417,,,,,,,,,,,,,1.0,0.5,0.9044030945758392,5.0,,,False,1.7709021733492403
quartic,10.0,10,10,2000,2.0,PAC hyperprior,0.8503617565300794,,,,,,,,,,,,,1.0,1.0,2.5133832439139296,5.0,,,False,3.625915849328491
quartic,10.0,11,10,2000,2.0,fitted ellipse,0.958392031393485,2.6450444120224548,4.958647868038539,3.693290958694329,-6.905973558232357,0.6572062304913777,9.680344001221918,3.954873808756965,0.25285256833878716,1.4338138791823871,0.6974405915014831,34.38824127288266,0.0635,,,,,,,,
quartic,10.0,11,10,2000,2.0,PAC hyperposterior,1.3222579250787465,,,,1.1647322565613014,,,,,,,,0.09217138671875,0.0,0.5,2.082805986193109,5.0,9.452202091547186,9.30038958745795,,
quartic,10.0,11,10,2000,2.0,PAC hyperprior,1.3988568302965367,,,,,,,,,,,,,0.0,0.125,1.523550520819198,5.0,,,False,2.028966757590604
quartic,10.0,11,10,2000,2.0,PAC hyperprior,1.4247841137469976,,,,,,,,,,,,,0.0,0.25,1.7794163265897005,5.0,,,False,2.6154277939542414
quartic,10.0,11,10,2000,2.0,PAC hyperprior,1.4841279933400082,,,,,,,,,,,,,0.0,0.5,2.6380243764394122,5.0,,,True,3.8042451070521093
quartic,10.0,11,10,2000,2.0,PAC hyperprior,1.5269479087312043,,,,,,,,,,,,,0.0,1.0,3.426784444219428,5.0,,,False,4.504083313865154
quartic,10.0,11,10,2000,2.0,PAC hyperposterior,1.4669242489535717,,,,1.1647322565613014,,,,,,,,0.18979345703125,1.0,0.125,1.4769803902569558,5.0,9.452202091547186,9.30038958745795,,
quartic,10.0,11,10,2000,2.0,PAC hyperprior,1.4669736469767156,,,,,,,,,,,,,1.0,0.125,1.4776272058792022,5.0,,,True,1.6389045046278081
quartic,10.0,11,10,2000,2.0,PAC hyperprior,1.440017347553538,,,,,,,,,,,,,1.0,0.25,1.4885077855840279,5.0,,,False,1.8752814880048891
quartic,10.0,11,10,2000,2.0,PAC hyperprior,1.4235915347173358,,,,,,,,,,,,,1.0,0.5,2.1138122067414775,5.0,,,False,3.209127945798624
quartic,10.0,11,10,2000,2.0,PAC hyperprior,1.4027718646121428,,,,,,,,,,,,,1.0,1.0,3.1724786023891474,5.0,,,False,4.266375038792546
quartic,10.0,12,10,2000,2.0,fitted ellipse,0.5440488486933734,0.7067241316627417,4.691377071065958,4.921861537607744,-6.905973558232357,0.6368471690640264,9.680344001221918,3.8657835430994383,0.25867977056941943,1.3515099673339772,0.7399131520817603,34.38824127288266,0.0,,,,,,,,
quartic,10.0,12,10,2000,2.0,PAC hyperposterior,0.35627097974718624,,,,1.1647322565613014,,,,,,,,0.00702880859375,0.0,0.125,0.3695234828323878,5.0,9.623844642169331,9.54623403484008,,
quartic,10.0,12,10,2000,2.0,PAC hyperprior,0.3506499821423528,,,,,,,,,,,,,0.0,0.125,0.3634282654692173,5.0,,,True,0.5571976430293741
quartic,10.0,12,10,2000,2.0,PAC hyperprior,0.37555495192558674,,,,,,,,,,,,,0.0,0.25,0.43564950423180393,5.0,,,False,1.0819131031960083
quartic,10.0,12,10,2000,2.0,PAC hyperprior,0.4089224420515722,,,,,,,,,,,,,0.0,0.5,0.9121281187662289,5.0,,,False,2.089433546952181
quartic,10.0,12,10,2000,2.0,PAC hyperprior,0.4677263802295408,,,,,,,,,,,,,0.0,1.0,1.9327752750191274,5.0,,,False,2.9597148155123527
quartic,10.0,12,10,2000,2.0,PAC hyperposterior,0.5171991028463722,,,,1.1647322565613014,,,,,,,,0.0004521484375,1.0,0.5,0.5817780663386186,5.0,9.623844642169331,9.54623403484008,,
quartic,10.0,12,10,2000,2.0,PAC hyperprior,0.5207393971119488,,,,,,,,,,,,,1.0,0.125,0.5228708201849424,5.0,,,False,0.6123171396466702
quartic,10.0,12,10,2000,2.0,PAC hyperprior,0.5278438440762326,,,,,,,,,,,,,1.0,0.25,0.5360480008761703,5.0,,,False,0.7227375163632228
quartic,10.0,12,10,2000,2.0,PAC hyperprior,0.5451112314812696,,,,,,,,,,,,,1.0,0.5,0.5883103986406668,5.0,,,True,0.9958483473759436
quartic,10.0,12,10,2000,2.0,PAC hyperprior,0.6462210249709226,,,,,,,,,,,,,1.0,1.0,1.3365918234956484,5.0,,,False,2.426542353643816
quartic,10.0,13,10,2000,2.0,fitted ellipse,0.8318305672102362,2.421533963042688,5.423821484690201,5.006262120177562,-6.905973558232357,2.109863241070042,9.680344001221918,4.109931680974186,0.24331304693682107,1.1046527478733863,0.905261858919142,34.38824127288266,0.0645,,,,,,,,
quartic,10.0,13,10,2000,2.0,PAC hyperposterior,0.9463350911600843,,,,1.1647322565613014,,,,,,,,0.00024658203125,0.0,0.125,0.9675675479058649,5.0,9.61523851238482,9.53706687521489,,
quartic,10.0,13,10,2000,2.0,PAC hyperprior,0.9488413266047835,,,,,,,,,,,,,0.0,0.125,0.9720717474301201,5.0,,,True,1.3298888076028792
quartic,10.0,13,10,2000,2.0,PAC hyperprior,0.9816763433384671,,,,,,,,,,,,,0.0,0.25,1.123336999429907,5.0,,,False,1.9315827215833625
quartic,10.0,13,10,2000,2.0,PAC hyperprior,1.0887629030155903,,,,,,,,,,,,,0.0,0.5,1.8543083728119292,5.0,,,False,2.882837965889996
