problem,size,seed,method,n_rows,n_units,n_params,units_per_param,failed,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor,pp_area_signed,pp_area_abs,pit_area_signed,pit_area_abs,bound,continuous_bound,n_cert_units,moment_constant,n_stored,failure_probability,trivial_bound,lam,empirical,monte_carlo,kl,complexity,concentration,mixture_empirical,outside_support_fraction,pac_test_risk,pvi_lam,converged,n_iter,n_fev,n_skipped,n_nonfinite,termination_status,termination_message,max_iter,max_fun
quartic,10.0,0,Bayesian ridge,10,10,5,2.0,False,0.0089570409618318,61.19873857745985,0.145,33.14618793372927,0.2305,54.534142083511554,1118.3199135052864,3134.321377285546,0.0,9.093311836862624,0.3662455429614727,0.3662460313190166,0.0366405936949321,0.2299212210165175,,,,,,,,,,,,,,,,,,,,,,,,,,
quartic,10.0,0,POPS hypercube,10,10,5,2.0,False,0.2871210421435535,61.19873857745985,0.9495,1310.8198961687908,0.97,1768.4887130817435,1313.2272901005856,,,,-0.1697095468742585,0.183967072711314,0.1663488769530999,0.171916080570204,,,,,,,,,,,,,,,,,,,,,,,,,,
quartic,10.0,0,POPS ellipse,10,10,5,2.0,False,0.0102581670507788,61.19873857745962,1.0,1366.3058482785266,1.0,1814.83238381533,1366.3058482785266,5.577565887314109,0.0,5.557640032614007,-0.1105996748040734,0.1273149564319709,-0.0481115891495501,0.0972585078481256,,,,,,,,,,,,,,,,,,,,,,,,,,
quartic,10.0,0,Ellipse+EB,10,10,5,2.0,False,0.0141320410184562,61.19873857745955,1.0,1851.947286877641,1.0,2942.9859676400247,1851.947286877641,5.859095801422254,0.0,5.833664005065379,-0.1739656855462656,0.1739656855462656,-0.0227361897356989,0.1396001394601582,,,,,,,,,,,,,,,,,,,,,,,,,,
quartic,10.0,0,Ellipse+PAC,10,10,5,2.0,False,0.1754426253028214,74.85970464198131,1.0,3565.7048144051837,1.0,5497.532064949096,3565.7048144051837,5.732548450831764,0.0,5.705373311552262,-0.1342347158198192,0.134234715835078,-0.0261255494370337,0.1231342455757563,9.521928714199545,9.393870862104484,10.0,3.5103999999999993,1024.0,0.07,9.680344001221918,0.029296875,4.825604787897312,0.0323835783070298,9.067041802239788e-07,4.535882495900143,0.0,4.822969691415741,0.0,5.682218527964422,,,,,,,,,,
quartic,10.0,0,Bayesian stacking,10,10,5,2.0,False,0.0201961663551628,61.53649264724262,0.778,138.5413232608539,0.9045,216.53265319538295,354.056082947614,5.859203283953702,0.0,5.644189289372801,0.0723929853483306,0.0806001457578117,0.1276436509099869,0.1336170043035174,,,,,,,,,,,,,,,,,,,,,,,,,,
quartic,10.0,0,PVI,10,10,5,2.0,False,3.4416649169288576,47.8369060220233,0.897,147.51225787118727,1.0,242.69621731134148,206.0979736246449,5.014608923642966,0.0,5.014691921634536,0.0438005068334033,0.0439153181473797,0.1753704314935211,0.1753902493204979,,,,,,,,,,,,,,,,,0.0,True,20000.0,20000.0,0.0,,,,,
quartic,10.0,0,PVI (lamb=1),10,10,5,2.0,False,4.669023166876286,47.03949779135882,0.867,147.824071405062,1.0,243.20923206869105,207.07068445520895,5.023565144495559,0.0,5.023792185454838,0.0471608662084651,0.0476342668592013,0.16263420543168,0.1626522814771985,,,,,,,,,,,,,,,,,1.0,True,20000.0,20000.0,0.0,,,,,
quartic,10.0,0,POPS ellipse (free center),10,10,5,2.0,False,0.0065853749401867,147.16926430244143,0.8195,562.8380601510585,0.914,747.6047472774289,605.7367858098253,inf,0.085,5.9384605851291425,0.0429826826154193,0.0698644533132535,0.1658699910961897,0.1658699910961897,,,,,,,,,,,,,,,,,,,,,,,,,,
quartic,10.0,0,Ellipse+EB (free center),10,10,5,2.0,False,0.0193482497707009,142.76167330560983,0.946,647.1270084172913,1.0,924.7139775066066,650.4113659267291,5.410507146526665,0.0,5.403632893550534,0.0281417490217683,0.0629256278241994,0.1462336887104137,0.146247337525181,,,,,,,,,,,,,,,,,,,,,,,,,,
quartic,10.0,0,Ellipse+PAC (free center),10,10,5,2.0,False,0.8084773751907051,1415.5483487570168,1.0,11143.784060782044,1.0,19757.09980317939,11143.784060782044,7.040684428362764,0.0,6.841422601067322,-0.1102032285168282,0.1102032285778633,0.1029666584333417,0.1599782129002528,9.676496295178678,9.655850961385806,10.0,3.5103999999999993,1024.0,0.07,9.680344001221918,3.125,5.698617969606245,0.0502961827790223,5.313337236588089,3.906936809000539,0.0,5.500628508635605,0.029225,6.726769307590602,,,,,,,,,,
quartic,10.0,1,Bayesian ridge,10,10,5,2.0,False,0.0052872081287205,71.5715515284125,0.0915,26.16879953516177,0.1315,43.054514590296094,1555.0982062474257,9169.97070823211,0.0,9.500584269841696,0.3807318173752479,0.3807318618698768,-0.1809423158489719,0.2665646062900982,,,,,,,,,,,,,,,,,,,,,,,,,,
quartic,10.0,1,POPS hypercube,10,10,5,2.0,False,0.2663725423626601,71.5715515284125,0.688,655.072900742497,0.8115,830.1452334588396,794.2795484247422,,,,-0.0878106494138021,0.1317547796822235,-0.0440640869140671,0.1390371692695666,,,,,,,,,,,,,,,,,,,,,,,,,,
quartic,10.0,1,POPS ellipse,10,10,5,2.0,False,0.0097782500088214,71.57155152841277,0.9405,517.4431351484563,0.959,687.307720766571,534.8250008454826,inf,0.039,5.510577145966816,-0.0369173369147016,0.0641499000407503,-0.085641494254685,0.0877231892816023,,,,,,,,,,,,,,,,,,,,,,,,,,
quartic,10.0,1,Ellipse+EB,10,10,5,2.0,False,0.020023874938488,71.57155152841278,1.0,827.9293803012257,1.0,1305.5395999980667,827.9293803012257,5.574953610029973,0.0,5.567876786964342,-0.1472019091798309,0.1472019091798309,-0.0380174826148067,0.1377614273364882,,,,,,,,,,,,,,,,,,,,,,,,,,
quartic,10.0,1,Ellipse+PAC,10,10,5,2.0,False,0.1994707924313843,63.349448832061775,1.0,2103.5891748377076,1.0,10323.185918610832,2103.5891748377076,5.6929338456124166,0.0,5.680814984762784,-0.1617825537106828,0.1617825537106828,-0.0162962242632518,0.1249159647971807,9.616379428403128,9.53399819286444,10.0,3.5103999999999993,1024.0,0.07,9.680344001221918,0.62744140625,5.569128729986286,0.0456314783507603,0.1718303110404392,3.9192379845273937,0.0,5.406333318160064,0.0087,5.669726970132307,,,,,,,,,,
quartic,10.0,1,Bayesian stacking,10,10,5,2.0,False,0.0162949999794363,125.0328446498366,0.7165,258.20286426309497,1.0,446.5729111348054,525.2090152146837,5.493017469100847,0.0,5.468351592330238,0.0393006376925787,0.0443455408717217,-0.1085674070413703,0.121490418168895,,,,,,,,,,,,,,,,,,,,,,,,,,
quartic,10.0,1,PVI,10,10,5,2.0,False,3.4595492077060044,107.6331726253076,0.765,140.4801567330207,0.8255,231.12657306202,1199.0816987798885,6.6678703249833475,0.0,5.814619571477754,0.0956247910125448,0.0956247910125448,-0.1542216556622845,0.1569353136283061,,,,,,,,,,,,,,,,,0.0,True,20000.0,20000.0,0.0,,,,,
