study,method,N,P,rank,seconds,peak_over_design
"rank sweep (N = 1000, P = 250)",Ellipse+PAC,1000,250,4,0.6203776658512652,
"rank sweep (N = 1000, P = 250)",POPS ellipse,1000,250,8,0.37735670898109674,
"rank sweep (N = 1000, P = 250)",Ellipse+EB,1000,250,8,0.3816074999049306,
"rank sweep (N = 1000, P = 250)",Ellipse+PAC,1000,250,8,0.627899750135839,
"rank sweep (N = 1000, P = 250)",POPS ellipse,1000,250,16,0.5414777919650078,
"rank sweep (N = 1000, P = 250)",Ellipse+EB,1000,250,16,0.5516211669892073,
"rank sweep (N = 1000, P = 250)",Ellipse+PAC,1000,250,16,0.6429021251387894,
"rank sweep (N = 1000, P = 250)",POPS ellipse,1000,250,32,0.6849765838123858,
"rank sweep (N = 1000, P = 250)",Ellipse+EB,1000,250,32,0.7040859591215849,
"rank sweep (N = 1000, P = 250)",Ellipse+PAC,1000,250,32,0.6721807499416173,
"rank sweep (N = 1000, P = 250)",POPS ellipse,1000,250,64,1.2213510419242084,
"rank sweep (N = 1000, P = 250)",Ellipse+EB,1000,250,64,1.2558671669103205,
"rank sweep (N = 1000, P = 250)",Ellipse+PAC,1000,250,64,0.7287672501988709,
"rank sweep (N = 1000, P = 250)",POPS ellipse,1000,250,128,2.029774666763842,
"rank sweep (N = 1000, P = 250)",Ellipse+EB,1000,250,128,2.099749749992043,
"rank sweep (N = 1000, P = 250)",Ellipse+PAC,1000,250,128,0.8389662918634713,
