problem,size,seed,n_units,n_test_units,units_per_param,fold,prior_std,n_prior_draws,test_unit_fraction,softmax_median,softmax_spread
quartic,20.0,2,20,2000,4.0,0,0.125,4096,0.5,0.8571166410956415,0.10279276572906226
quartic,20.0,2,20,2000,4.0,0,0.125,64,1.0,0.841041723133487,0.011600405345019493
quartic,20.0,2,20,2000,4.0,0,0.125,256,1.0,0.8416187858259008,0.005803348616407744
quartic,20.0,2,20,2000,4.0,0,0.125,1024,1.0,0.8429255436461341,0.002095642225739325
quartic,20.0,2,20,2000,4.0,0,0.125,4096,1.0,0.842336637747362,0.0011527180510785273
quartic,20.0,2,20,2000,4.0,1,0.125,64,0.25,0.818501951600207,0.17253901555148554
quartic,20.0,2,20,2000,4.0,1,0.125,256,0.25,0.8136129112784269,0.14724871925667016
quartic,20.0,2,20,2000,4.0,1,0.125,1024,0.25,0.8456779936066439,0.20144760622515123
quartic,20.0,2,20,2000,4.0,1,0.125,4096,0.25,0.8104942946549858,0.09683843788241564
quartic,20.0,2,20,2000,4.0,1,0.125,64,0.5,0.8192116499226763,0.0979196648419437
quartic,20.0,2,20,2000,4.0,1,0.125,256,0.5,0.8177198157075359,0.09403961188144705
quartic,20.0,2,20,2000,4.0,1,0.125,1024,0.5,0.8530200284828255,0.10303949347450758
quartic,20.0,2,20,2000,4.0,1,0.125,4096,0.5,0.8264480260598985,0.08498667398746695
quartic,20.0,2,20,2000,4.0,1,0.125,64,1.0,0.8180846031873801,0.013904026743551068
quartic,20.0,2,20,2000,4.0,1,0.125,256,1.0,0.8199148032052402,0.00579360160025133
quartic,20.0,2,20,2000,4.0,1,0.125,1024,1.0,0.821023904138799,0.0050359336910675845
quartic,20.0,2,20,2000,4.0,1,0.125,4096,1.0,0.8202252191982282,0.0016774019249596872
quartic,300.0,0,300,2000,60.0,0,0.125,64,0.25,0.8181083046623194,0.16313221351441665
quartic,300.0,0,300,2000,60.0,0,0.125,256,0.25,0.8423776764331188,0.1356915405663276
quartic,300.0,0,300,2000,60.0,0,0.125,1024,0.25,0.8361491419096074,0.16100758662262904
quartic,300.0,0,300,2000,60.0,0,0.125,4096,0.25,0.8538128904700917,0.23550183008099945
quartic,300.0,0,300,2000,60.0,0,0.125,64,0.5,0.7660975317335412,0.14323777691805883
quartic,300.0,0,300,2000,60.0,0,0.125,256,0.5,0.7945148730355505,0.15994856351197895
quartic,300.0,0,300,2000,60.0,0,0.125,1024,0.5,0.8423604216584792,0.14657630377462483
quartic,300.0,0,300,2000,60.0,0,0.125,4096,0.5,0.8669746345990262,0.12295950101975728
quartic,300.0,0,300,2000,60.0,0,0.125,64,1.0,0.7958278112091495,0.0689387679380774
quartic,300.0,0,300,2000,60.0,0,0.125,256,1.0,0.816070353688007,0.09020619326945656
quartic,300.0,0,300,2000,60.0,0,0.125,1024,1.0,0.8422143132603904,0.11409103295945577
quartic,300.0,0,300,2000,60.0,0,0.125,4096,1.0,0.888732877616639,0.12769404975573273
quartic,300.0,0,300,2000,60.0,1,0.125,64,0.25,0.7476108429029196,0.16633799836086993
quartic,300.0,0,300,2000,60.0,1,0.125,256,0.25,0.7543187193666065,0.24228711155654858
quartic,300.0,0,300,2000,60.0,1,0.125,1024,0.25,0.7859930271850304,0.14469588408766831
quartic,300.0,0,300,2000,60.0,1,0.125,4096,0.25,0.8153778816887995,0.1055436888258432
quartic,300.0,0,300,2000,60.0,1,0.125,64,0.5,0.756947358221354,0.11562530764503542
quartic,300.0,0,300,2000,60.0,1,0.125,256,0.5,0.7684659956132311,0.10391032378916132
quartic,300.0,0,300,2000,60.0,1,0.125,1024,0.5,0.7895249557039321,0.07892582522737812
quartic,300.0,0,300,2000,60.0,1,0.125,4096,0.5,0.851193307465026,0.16877830428526797
quartic,300.0,0,300,2000,60.0,1,0.125,64,1.0,0.7713012065155256,0.05342216389264065
quartic,300.0,0,300,2000,60.0,1,0.125,256,1.0,0.7661312477206739,0.052383765573485896
quartic,300.0,0,300,2000,60.0,1,0.125,1024,1.0,0.802877306414109,0.058650334045851515
quartic,300.0,0,300,2000,60.0,1,0.125,4096,1.0,0.8338580472294229,0.08018758390130387
quartic,300.0,1,300,2000,60.0,0,0.125,64,0.25,0.7684732536379932,0.11037129739311824
quartic,300.0,1,300,2000,60.0,0,0.125,256,0.25,0.8361052642017976,0.1474660850619579
quartic,300.0,1,300,2000,60.0,0,0.125,1024,0.25,0.7960498135627354,0.203465829028872
quartic,300.0,1,300,2000,60.0,0,0.125,4096,0.25,0.8084965558083173,0.17089837110605677
quartic,300.0,1,300,2000,60.0,0,0.125,64,0.5,0.7921617438486224,0.12715085962266748
quartic,300.0,1,300,2000,60.0,0,0.125,256,0.5,0.7392485961189226,0.165833391823885
quartic,300.0,1,300,2000,60.0,0,0.125,1024,0.5,0.8079783154464735,0.10929177267356793
quartic,300.0,1,300,2000,60.0,0,0.125,4096,0.5,0.8392354453216854,0.10920736550716781
quartic,300.0,1,300,2000,60.0,0,0.125,64,1.0,0.7577717224441123,0.039927212719747196
quartic,300.0,1,300,2000,60.0,0,0.125,256,1.0,0.7647733979497053,0.0444272180236287
quartic,300.0,1,300,2000,60.0,0,0.125,1024,1.0,0.8015598553633216,0.042194867117756996
quartic,300.0,1,300,2000,60.0,0,0.125,4096,1.0,0.8076435756995444,0.0564740102526019
quartic,300.0,1,300,2000,60.0,1,0.125,64,0.25,0.7665735305058164,0.20434561794623496
quartic,300.0,1,300,2000,60.0,1,0.125,256,0.25,0.7761168869982955,0.17492401143693204
quartic,300.0,1,300,2000,60.0,1,0.125,1024,0.25,0.7973103678851841,0.15912811622966683
quartic,300.0,1,300,2000,60.0,1,0.125,4096,0.25,0.8243084689050248,0.20174664054116753
quartic,300.0,1,300,2000,60.0,1,0.125,64,0.5,0.7445406878325425,0.09624810238780335
quartic,300.0,1,300,2000,60.0,1,0.125,256,0.5,0.7916060366034698,0.08135027919777693
quartic,300.0,1,300,2000,60.0,1,0.125,1024,0.5,0.8066003283340527,0.12967976638441503
quartic,300.0,1,300,2000,60.0,1,0.125,4096,0.5,0.7922181394546618,0.16099418881612537
quartic,300.0,1,300,2000,60.0,1,0.125,64,1.0,0.7545532494427671,0.03503184039983398
quartic,300.0,1,300,2000,60.0,1,0.125,256,1.0,0.7786366114129336,0.07169518082118631
quartic,300.0,1,300,2000,60.0,1,0.125,1024,1.0,0.7942860844487003,0.06976526929203919
quartic,300.0,1,300,2000,60.0,1,0.125,4096,1.0,0.8413401067305295,0.07129500068425443
quartic,300.0,2,300,2000,60.0,0,0.125,64,0.25,0.7767823945790812,0.1987207594254622
quartic,300.0,2,300,2000,60.0,0,0.125,256,0.25,0.774735349306553,0.13663145940471622
quartic,300.0,2,300,2000,60.0,0,0.125,1024,0.25,0.8388066201268036,0.17947226241805891
quartic,300.0,2,300,2000,60.0,0,0.125,4096,0.25,0.8665511163130823,0.19056627452977204
quartic,300.0,2,300,2000,60.0,0,0.125,64,0.5,0.7572193646820842,0.07650270484841482
quartic,300.0,2,300,2000,60.0,0,0.125,256,0.5,0.8122160340445266,0.1165365702701997
quartic,300.0,2,300,2000,60.0,0,0.125,1024,0.5,0.8242920514982035,0.12230125673577574
quartic,300.0,2,300,2000,60.0,0,0.125,4096,0.5,0.8692559286527557,0.08846134114447246
quartic,300.0,2,300,2000,60.0,0,0.125,64,1.0,0.7672770311867672,0.09410828478818367
quartic,300.0,2,300,2000,60.0,0,0.125,256,1.0,0.788205517430951,0.052704282473809205
quartic,300.0,2,300,2000,60.0,0,0.125,1024,1.0,0.8120250427787696,0.05951250336428815
quartic,300.0,2,300,2000,60.0,0,0.125,4096,1.0,0.8427419340853322,0.1031262911635662
quartic,300.0,2,300,2000,60.0,1,0.125,64,0.25,0.7871397086578866,0.12838713272243196
quartic,300.0,2,300,2000,60.0,1,0.125,256,0.25,0.8041321316983643,0.1683343594110529
quartic,300.0,2,300,2000,60.0,1,0.125,1024,0.25,0.861137889968971,0.20635172881878772
quartic,300.0,2,300,2000,60.0,1,0.125,4096,0.25,0.8157306265324205,0.1344371418808622
quartic,300.0,2,300,2000,60.0,1,0.125,64,0.5,0.7483460347365689,0.08401022379689371
quartic,300.0,2,300,2000,60.0,1,0.125,256,0.5,0.78065032877289,0.11557439492233124
quartic,300.0,2,300,2000,60.0,1,0.125,1024,0.5,0.8129389544152961,0.1750768236447502
quartic,300.0,2,300,2000,60.0,1,0.125,4096,0.5,0.8843200759568817,0.10864097054015809
quartic,300.0,2,300,2000,60.0,1,0.125,64,1.0,0.7609314283296793,0.12707729682634927
quartic,300.0,2,300,2000,60.0,1,0.125,256,1.0,0.7857218284051304,0.08601839355413154
quartic,300.0,2,300,2000,60.0,1,0.125,1024,1.0,0.8178705214996433,0.06812562608785255
quartic,300.0,2,300,2000,60.0,1,0.125,4096,1.0,0.8592120092342002,0.0806442299518757
burgers,8.0,0,8,120,1.0,0,1.0,64,0.25,1.3893855125205992,0.7427839663627329
burgers,8.0,0,8,120,1.0,0,1.0,256,0.25,1.4720437361605596,0.388515552321687
burgers,8.0,0,8,120,1.0,0,1.0,1024,0.25,1.4127475630750979,0.5165785275921926
burgers,8.0,0,8,120,1.0,0,1.0,4096,0.25,1.4168065888303147,0.4079662505643544
burgers,8.0,0,8,120,1.0,0,1.0,64,0.5,1.5049723743039156,0.3090597958892931
burgers,8.0,0,8,120,1.0,0,1.0,256,0.5,1.5124507463314563,0.30179049536007496
burgers,8.0,0,8,120,1.0,0,1.0,1024,0.5,1.3682496750834618,0.3888463184989328
burgers,8.0,0,8,120,1.0,0,1.0,4096,0.5,1.5578004716319285,0.26621470268771996
burgers,8.0,0,8,120,1.0,0,1.0,64,1.0,1.4757775846138825,0.07213021582251611
burgers,8.0,0,8,120,1.0,0,1.0,256,1.0,1.497389183095313,0.03672146600513426
burgers,8.0,0,8,120,1.0,0,1.0,1024,1.0,1.4894089508830508,0.021842770526364408
burgers,8.0,0,8,120,1.0,0,1.0,4096,1.0,1.4877970814823973,0.009334638852426247
burgers,8.0,0,8,120,1.0,1,1.0,64,0.25,1.6015875240879491,0.8118898254796805
burgers,8.0,0,8,120,1.0,1,1.0,256,0.25,1.672203139277857,0.7872657369781408
burgers,8.0,0,8,120,1.0,1,1.0,1024,0.25,1.8312708216126306,0.4120534198166208
burgers,8.0,0,8,120,1.0,1,1.0,4096,0.25,1.722157597977354,0.7550449399822392
burgers,8.0,0,8,120,1.0,1,1.0,64,0.5,1.6628992295563778,0.25102086155840175
burgers,8.0,0,8,120,1.0,1,1.0,256,0.5,1.625328413581431,0.5676530396753754
