study,repeat,pilot_seed,cert_seed,N0,N1,N_total,N_test,P,K,beta,min_half_width,xi,n_lambdas,y_lower,y_upper,time_pilot,time_certify,certified,loss_lower,loss_upper,loss_range,n_independent_units,pilot_coverage,fixed_prior_empirical,fixed_prior_mixture_empirical,fixed_prior_jensen_gap,fixed_prior_kl,fixed_prior_complexity_penalty,fixed_prior_hoeffding_penalty,fixed_prior_raw_bound,fixed_prior_capped_bound,fixed_prior_nonvacuous,fixed_prior_selected_lambda,fixed_prior_test_mixture_nll,fixed_prior_test_mixture_nll_se,fixed_prior_test_coverage,fixed_prior_test_width,fixed_prior_floor_fraction,fixed_prior_unit_loss_max,fixed_prior_unit_loss_q99,fixed_prior_unit_loss_var,fixed_prior_top_scale,fixed_prior_top_weight,fixed_prior_n_nonzero_weights,fixed_prior_top_candidate_outside_support_fraction,fixed_prior_top_candidate_unmodified_nonfinite,single_best_empirical,single_best_mixture_empirical,single_best_jensen_gap,single_best_kl,single_best_complexity_penalty,single_best_hoeffding_penalty,single_best_raw_bound,single_best_capped_bound,single_best_nonvacuous,single_best_selected_lambda,single_best_test_mixture_nll,single_best_test_mixture_nll_se,single_best_test_coverage,single_best_test_width,single_best_floor_fraction,single_best_unit_loss_max,single_best_unit_loss_q99,single_best_unit_loss_var,single_best_top_scale,single_best_top_weight,single_best_n_nonzero_weights,single_best_top_candidate_outside_support_fraction,single_best_top_candidate_unmodified_nonfinite,stacking_empirical,stacking_mixture_empirical,stacking_jensen_gap,stacking_kl,stacking_complexity_penalty,stacking_hoeffding_penalty,stacking_raw_bound,stacking_capped_bound,stacking_nonvacuous,stacking_selected_lambda,stacking_test_mixture_nll,stacking_test_mixture_nll_se,stacking_test_coverage,stacking_test_width,stacking_floor_fraction,stacking_unit_loss_max,stacking_unit_loss_q99,stacking_unit_loss_var,stacking_top_scale,stacking_top_weight,stacking_n_nonzero_weights,stacking_top_candidate_outside_support_fraction,stacking_top_candidate_unmodified_nonfinite,gibbs_empirical,gibbs_mixture_empirical,gibbs_jensen_gap,gibbs_kl,gibbs_complexity_penalty,gibbs_hoeffding_penalty,gibbs_raw_bound,gibbs_capped_bound,gibbs_nonvacuous,gibbs_selected_lambda,gibbs_test_mixture_nll,gibbs_test_mixture_nll_se,gibbs_test_coverage,gibbs_test_width,gibbs_floor_fraction,gibbs_unit_loss_max,gibbs_unit_loss_q99,gibbs_unit_loss_var,gibbs_top_scale,gibbs_top_weight,gibbs_n_nonzero_weights,gibbs_top_candidate_outside_support_fraction,gibbs_top_candidate_unmodified_nonfinite,stacking_solver,stacking_success,time_bare,bare_test_nll_contaminated,bare_test_unmodified_nonfinite_fraction,bare_test_unmodified_nll_finite_part,bare_test_support_coverage,bare_test_support_width,bare_test_coverage,bare_test_width,time_eb,eb_diagnostic_bound,eb_kl,eb_certificate_status,eb_test_outer_coverage,eb_test_outer_width,eb_test_coverage,eb_test_width,hypercube_test_coverage,hypercube_test_width,bayes_epistemic_2std_coverage,bayes_epistemic_2std_width,bayes_predictive_2std_coverage,bayes_predictive_2std_width,bayes_predictive_test_nll
fixed_pilot,0,0,2000,40,10,50,2000,5,17,0.02,0.5,0.05,24,-210.0,210.0,0.0034712916240096092,0.0058951666578650475,True,-0.6084318668970196,9.95227771670556,10.560709583602579,10,1.0,4.629646141341973,4.347140621736139,0.28250551960583437,0.0,2.8200499525208813,3.052045405402758,10.501741499265613,9.95227771670556,False,2.189247072869438,4.873498265069631,0.022015077154674892,1.0,289.88910360042223,0.0053037617958095785,5.615618924673903,5.592855493418426,1.0180668834899635,0.5,0.058823529411764705,17,0.3,3,4.064794869655081,4.064794869655081,0.0,2.833213344056216,3.1368302128830576,4.002997662245981,11.204622744784121,9.95227771670556,False,2.8713697703389016,4.577943657354519,0.02176550542685586,1.0,116.08552523762303,0.003939995954589301,5.233345440580435,5.218746445191831,0.9836469792354199,0.9576032806985736,1.0,1,0.0,0,4.064794869655081,4.064794869655081,0.0,2.833213344056216,3.1368302128830576,4.002997662245981,11.204622744784121,9.95227771670556,False,2.8713697703389016,4.577943657354519,0.02176550542685586,1.0,116.08552523762303,0.003939995954589301,5.233345440580435,5.218746445191831,0.9836469792354199,0.9576032806985736,1.0,1,0.0,0,4.2807911018578535,4.21326229515967,0.06752880669818317,0.2849220954953223,2.9501961105430894,3.052045405402758,10.283032617803702,9.95227771670556,False,2.189247072869438,4.730044490907934,0.021372389585053365,1.0,215.69498975711466,0.0045879624283302126,5.382992878399149,5.371517868732156,0.9715037360852851,0.9576032806985736,0.12550343761132393,17,0.0,0,slsqp,True,0.003636667039245367,4.574837955968848,0.0,4.560845171877126,1.0,154.82069075009903,1.0,110.94250300845907,0.0038305828347802162,4.677572448935184,7.729543895395162,diagnostic_empirical_bayes,1.0,182.1951571015816,1.0,127.57827390207319,0.918,233.2416680309086,0.1125,16.869611210348957,0.9765,128.3502819150974,4.9674028513163035
fixed_pilot,0,0,2000,40,30,70,2000,5,17,0.02,0.5,0.05,24,-210.0,210.0,0.0036588343791663647,0.004560583271086216,True,-0.6084318668970196,9.95227771670556,10.560709583602579,30,1.0,4.834573912925068,4.606012374337526,0.2285615385875417,0.0,1.6393365012728687,1.7500821204015053,8.223992534599441,8.223992534599441,True,3.7660273525955645,4.873498265069631,0.022015077154674892,1.0,289.88910360042223,0.00726042344697479,5.915671501058102,5.901392362972359,1.3095313755480633,0.5,0.058823529411764705,17,0.3,9,4.306219042934616,4.306219042934616,0.0,2.833213344056216,1.8234855243177335,2.2953703848259877,8.425074952078338,8.425074952078338,True,4.93944115697226,4.577943657354519,0.02176550542685586,1.0,116.08552523762303,0.005289116468533159,5.649351880680198,5.607975892833607,1.259512736430824,0.9576032806985736,1.0,1,0.0,0,4.306219042934616,4.306219042934616,0.0,2.833213344056216,1.8234855243177335,2.2953703848259877,8.425074952078338,8.425074952078338,True,4.93944115697226,4.577943657354519,0.02176550542685586,1.0,116.08552523762303,0.005289116468533159,5.649351880680198,5.607975892833607,1.259512736430824,0.9576032806985736,1.0,1,0.0,0,4.445216120579341,4.407336442864421,0.03787967771491996,0.4943179947763012,1.7705936453389133,1.7500821204015053,7.965891886319759,7.965891886319759,True,3.7660273525955645,4.677656512094697,0.021512699683930346,1.0,176.10937988636417,0.00582504084816341,5.691723988209752,5.663206877692462,1.2441576168974202,0.9576032806985736,0.16276813867704787,17,0.0,0,slsqp,True,0.003917166963219643,4.55449517955145,0.0,4.540493645467285,1.0,148.34455262926687,1.0,106.30178625753503,0.0039042080752551556,4.620205741517108,10.818672268420789,diagnostic_empirical_bayes,1.0,176.60199980650498,1.0,122.9198738177043,0.926,219.92652992381102,0.1005,15.620885631803565,0.9555,129.7362320970857,4.995606739433339
fixed_pilot,0,0,2000,40,100,140,2000,5,17,0.02,0.5,0.05,24,-210.0,210.0,0.003004875034093857,0.006352709140628576,True,-0.6084318668970196,9.95227771670556,10.560709583602579,100,1.0,5.033534784483878,4.768440088008448,0.2650946964754306,0.0,0.9529704117486445,0.9031676528974735,6.889672849129997,6.889672849129997,True,6.4784656772012505,4.873498265069631,0.022015077154674892,1.0,289.88910360042223,0.008596434080972555,6.0899922612265005,6.071784008805101,1.497659466266849,0.5,0.058823529411764705,17,0.35,35,4.485920859504924,4.485920859504924,0.0,2.833213344056216,1.0600189464319854,1.1845754315334898,6.730515237470399,6.730515237470399,True,8.497017414901531,4.600249587707015,0.021033144434087016,1.0,131.7534338101537,0.006239208465046042,5.721785733466915,5.708311883567642,1.3492516046745533,1.0905077326652575,1.0,1,0.0,0,4.486533932758417,4.4850371434658465,0.0014967892925703552,2.169831115151031,0.9819465833293998,1.1845754315334898,6.653055947621306,6.653055947621306,True,8.497017414901531,4.590692537623775,0.021286862328071282,1.0,126.61907779488803,0.006312263493379494,5.718562249535681,5.703822067501374,1.392614490561612,1.0905077326652575,0.6213845973388903,2,0.0,0,4.561691542343803,4.540134088209607,0.02155745413419652,0.7807976932792989,1.0734924199190434,0.9031676528974735,6.5383516151603205,6.5383516151603205,True,6.4784656772012505,4.649430362131818,0.02122064877208775,1.0,157.51869235883143,0.006642521390735496,5.780742584832424,5.766246279239955,1.3806184056502273,1.0905077326652575,0.20981315494642108,17,0.0,0,slsqp,True,0.007325083017349243,4.557476415120021,0.0,4.543418485891814,1.0,152.82659832908644,1.0,109.51356219088825,0.00779254175722599,4.615252559530852,16.355765756530957,diagnostic_empirical_bayes,1.0,186.2935957985787,1.0,128.41423064602353,0.971,207.82117349421517,0.087,12.668079089040654,0.9735,142.7679208057532,4.977915048335283
fixed_pilot,0,0,2000,40,300,340,2000,5,17,0.02,0.5,0.05,24,-210.0,210.0,0.0030843750573694706,0.006616958882659674,True,-0.6084318668970196,9.95227771670556,10.560709583602579,300,1.0,5.100506532262012,4.863374146195592,0.23713238606641962,0.0,0.5539757121025749,0.5178879574539874,6.172370201818573,6.172370201818573,True,11.144506824080384,4.873498265069631,0.022015077154674892,1.0,289.88910360042223,0.008757366220126277,6.2427755241445695,6.1052746222834084,1.1512486844316747,0.5,0.058823529411764705,17,0.29333333333333333,88,4.580139140172343,4.580139140172341,1.7763568394002505e-15,2.833213344056216,0.6162045992743446,0.6792507999139953,5.875594539360683,5.875594539360683,True,14.616897469712145,4.577943657354519,0.02176550542685586,1.0,116.08552523762303,0.006572992040016293,5.865135017901447,5.727572480388739,1.1295707569967848,0.9576032806985736,1.0,1,0.0,0,4.580139140172343,4.580139140172341,1.7763568394002505e-15,2.833213344056216,0.6162045992743446,0.6792507999139953,5.875594539360683,5.875594539360683,True,14.616897469712145,4.577943657354519,0.02176550542685586,1.0,116.08552523762303,0.006572992040016293,5.865135017901447,5.727572480388739,1.1295707569967848,0.9576032806985736,1.0,1,0.0,0,4.62557294844833,4.612091936210339,0.013481012237990697,1.0852600364129967,0.6513564265248616,0.5178879574539874,5.794817332427178,5.794817332427178,True,11.144506824080384,4.6140391935731095,0.021480952241101633,1.0,135.75567196990693,0.006688241288600749,5.890512591912801,5.7627932825826775,1.0922028484037722,0.9576032806985736,0.28891697344360157,17,0.0,0,slsqp,True,0.007407709024846554,4.553570568788922,0.0,4.5394932653053655,1.0,148.7973831342842,1.0,106.62627873603907,0.006903375033289194,4.625219585147271,24.697697165567305,diagnostic_empirical_bayes,1.0,171.91474227885814,1.0,120.04160547354662,0.982,155.19899496214882,0.0675,8.565420972874566,0.978,144.8333866020473,4.979189612078105
fixed_pilot,1,0,2001,40,10,50,2000,5,17,0.02,0.5,0.05,24,-210.0,210.0,0.003783958964049816,0.004677874967455864,True,-0.6084318668970196,9.95227771670556,10.560709583602579,10,1.0,5.170230829914109,5.037736279947271,0.13249454996683774,0.0,2.8200499525208813,3.052045405402758,11.042326187837748,9.95227771670556,False,2.189247072869438,4.900841854630371,0.021895451368698266,1.0,295.4439465941702,0.008111007939004416,5.645773596057332,5.644045010540689,0.20991417957143987,0.5,0.058823529411764705,17,0.0,0,4.699319805674345,4.699319805674345,0.0,2.833213344056216,3.1368302128830576,4.002997662245981,11.839147680803384,9.95227771670556,False,2.8713697703389016,4.634159688945663,0.02323876655625416,0.9625,104.27789562362108,0.005799552527648158,5.368732691296434,5.359949386888377,0.21471396786782418,0.8408964152537145,1.0,1,0.0,0,4.699319805674345,4.699319805674345,0.0,2.833213344056216,3.1368302128830576,4.002997662245981,11.839147680803384,9.95227771670556,False,2.8713697703389016,4.634159688945663,0.02323876655625416,0.9625,104.27789562362108,0.005799552527648158,5.368732691296434,5.359949386888377,0.21471396786782418,0.8408964152537145,1.0,1,0.0,0,4.920902087163887,4.861559930590286,0.05934215657360031,0.23956676257364315,2.929478790198688,3.052045405402758,10.902426282765333,9.95227771670556,False,2.189247072869438,4.751625039432121,0.022301534154101646,1.0,198.27886145951436,0.006808643560320626,5.496975628235026,5.491857662039413,0.2119282495822441,0.8408964152537145,0.12141410507436774,17,0.0,0,slsqp,True,0.004066292196512222,4.597209523130462,0.0,4.583415785927579,1.0,156.91532602024463,1.0,112.44349153030242,0.003164249937981367,4.747607403291007,4.778109525756348,diagnostic_empirical_bayes,1.0,191.3747357846276,1.0,132.78186406792145,0.9335,234.6507305267888,0.097,17.118721227108114,0.9695,133.2305576483509,4.9993577671315395
fixed_pilot,1,0,2001,40,30,70,2000,5,17,0.02,0.5,0.05,24,-210.0,210.0,0.0030590002425014973,0.005527166184037924,True,-0.6084318668970196,9.95227771670556,10.560709583602579,30,1.0,4.945563280964114,4.768537830788143,0.1770254501759707,0.0,1.6393365012728687,1.7500821204015053,8.334981902638487,8.334981902638487,True,3.7660273525955645,4.900841854630371,0.021895451368698266,1.0,295.4439465941702,0.007371584191014332,5.86819444044289,5.857473185363508,0.8524559401506554,0.5,0.058823529411764705,17,0.13333333333333333,4,4.458654623345615,4.458654623345617,-1.7763568394002505e-15,2.833213344056216,1.8234855243177335,2.2953703848259877,8.577510532489336,8.577510532489336,True,4.93944115697226,4.634159688945663,0.02323876655625416,0.9625,104.27789562362108,0.005500046071725717,5.736167486784535,5.708108382090891,0.8858521116268914,0.8408964152537145,1.0,1,0.0,0,4.458654623345615,4.458654623345617,-1.7763568394002505e-15,2.833213344056216,1.8234855243177335,2.2953703848259877,8.577510532489336,8.577510532489336,True,4.93944115697226,4.634159688945663,0.02323876655625416,0.9625,104.27789562362108,0.005500046071725717,5.736167486784535,5.708108382090891,0.8858521116268914,0.8408964152537145,1.0,1,0.0,0,4.602045184157193,4.5554365159508645,0.046608668206328474,0.4981068596883766,1.7715997094370575,1.7500821204015053,8.123727013995756,8.123727013995756,True,3.7660273525955645,4.69861423618772,0.02212627273330319,1.0,162.6225600063458,0.005953113562969311,5.704365842168935,5.685710814441527,0.8482190265500794,0.8408964152537145,0.16611188523158124,17,0.0,0,slsqp,True,0.0035485420376062393,4.609724790006398,0.0,4.596772025391036,1.0,147.46591847150842,0.987,105.67216839303529,0.003960208036005497,4.720819978110574,12.179724809803036,diagnostic_empirical_bayes,1.0,179.44724934672357,1.0,124.3944277115063,0.909,197.5294867446209,0.0825,15.16470332690116,0.956,127.36361176240389,5.020766681336626
fixed_pilot,1,0,2001,40,100,140,2000,5,17,0.02,0.5,0.05,24,-210.0,210.0,0.0037262081168591976,0.005309084430336952,True,-0.6084318668970196,9.95227771670556,10.560709583602579,100,1.0,4.920326605182641,4.732422218612496,0.1879043865701453,0.0,0.9529704117486445,0.9031676528974735,6.776464669828759,6.776464669828759,True,6.4784656772012505,4.900841854630371,0.021895451368698266,1.0,295.4439465941702,0.007688481411045703,6.155160987992364,5.918461383446558,1.126345889409535,0.5,0.058823529411764705,17,0.16,16,4.442262852159674,4.442262852159676,-1.7763568394002505e-15,2.833213344056216,1.0600189464319854,1.1845754315334898,6.686857230125149,6.686857230125149,True,8.497017414901531,4.634159688945663,0.02323876655625416,0.9625,104.27789562362108,0.006053620031512488,6.159912588546476,6.142626607651185,1.2181995187362562,0.8408964152537145,1.0,1,0.0,0,4.443034626844737,4.440771381109518,0.002263245735218966,2.171043155823309,0.9820892264020327,1.1845754315334898,6.609699284780259,6.609699284780259,True,8.497017414901531,4.620975292503844,0.022552000645105576,1.0,110.26684576378321,0.005880682824576027,5.944850520868778,5.932090237153151,1.1659265494211566,0.8408964152537145,0.6238058727598548,2,0.0,0,4.519883840013829,4.491476011334131,0.028407828679697822,0.8019485110969421,1.0767572080450463,0.9031676528974735,6.49980870095635,6.49980870095635,True,6.4784656772012505,4.660283355136267,0.02192894279876861,1.0,140.54466402746917,0.00604810143138983,5.849539605549671,5.745722679136591,1.120703433383604,0.8408964152537145,0.2168824174612007,17,0.0,0,slsqp,True,0.005354541819542646,4.6028110067115575,0.0,4.590255261403504,1.0,142.80523405091867,0.979,102.33238226465939,0.005578458309173584,4.583437074502434,17.4200475357547,diagnostic_empirical_bayes,1.0,175.30832863189605,1.0,119.5996085201503,0.8925,147.94587370674918,0.0625,11.033344392781826,0.951,127.10277819024986,5.0404848906181865
fixed_pilot,1,0,2001,40,300,340,2000,5,17,0.02,0.5,0.05,24,-210.0,210.0,0.0029883328825235367,0.005453791934996843,True,-0.6084318668970196,9.95227771670556,10.560709583602579,300,1.0,5.006922080364835,4.798379684287298,0.20854239607753744,0.0,0.5539757121025749,0.5178879574539874,6.078785749921397,6.078785749921397,True,11.144506824080384,4.900841854630371,0.021895451368698266,1.0,295.4439465941702,0.008184100324393026,6.2806033582733605,6.207144342289645,1.1400403537167165,0.5,0.058823529411764705,17,0.21,63,4.504762396880492,4.504762396880492,0.0,2.833213344056216,0.6162045992743446,0.6792507999139953,5.800217796068832,5.800217796068832,True,14.616897469712145,4.606660294044325,0.02164612675809588,1.0,118.3838530834296,0.006055873292687098,5.906669631215309,5.827664240156253,1.110262916872662,0.9576032806985736,1.0,1,0.0,0,4.504762396880492,4.504762396880492,0.0,2.833213344056216,0.6162045992743446,0.6792507999139953,5.800217796068832,5.800217796068832,True,14.616897469712145,4.606660294044325,0.02164612675809588,1.0,118.3838530834296,0.006055873292687098,5.906669631215309,5.827664240156253,1.110262916872662,0.9576032806985736,1.0,1,0.0,0,4.550295526612455,4.536849233249243,0.013446293363212014,1.0883690858453232,0.6516354024796888,0.5178879574539874,5.719818886546131,5.719818886546131,True,11.144506824080384,4.6385978486247605,0.021638644349905405,1.0,132.78117209557143,0.006251379172399403,5.944711158090397,5.865917657396149,1.1105271327244577,0.9576032806985736,0.2901376007494298,17,0.0,0,slsqp,True,0.007181332912296057,4.574973051541636,0.0,4.561102483570954,1.0,157.53664053130075,1.0,112.88871746669425,0.006730915978550911,4.567465072212489,31.85037010349595,diagnostic_empirical_bayes,1.0,165.29145203693858,1.0,119.34511643214795,0.966,106.50240732283423,0.0895,10.633026360868694,0.991,134.66759478329325,4.998726912043663
fixed_pilot,2,0,2002,40,10,50,2000,5,17,0.02,0.5,0.05,24,-210.0,210.0,0.0029702503234148026,0.005031458102166653,True,-0.6084318668970196,9.95227771670556,10.560709583602579,10,1.0,4.819447076421181,4.602233585601381,0.21721349081980001,0.0,2.8200499525208813,3.052045405402758,10.69154243434482,9.95227771670556,False,2.189247072869438,4.896911616374031,0.021149085231203343,1.0,291.49290689062514,0.008241256999698724,5.863125753750152,5.862053020460966,1.7965561345346113,0.5,0.058823529411764705,17,0.3,3,4.342130029578938,4.342130029578938,0.0,2.833213344056216,3.1368302128830576,4.002997662245981,11.481957904707976,9.95227771670556,False,2.8713697703389016,4.60091925371958,0.02086432118995734,1.0,116.70262168772757,0.006328439488341045,5.6731447822373,5.657547708375565,1.7880365276835228,0.9576032806985736,1.0,1,0.0,0,4.343098749132434,4.34206603366559,0.0010327154668434702,2.5808406222179254,3.998921288790491,3.052045405402758,11.394065443325683,9.95227771670556,False,2.189247072869438,4.60202321450876,0.020948303692669305,1.0,115.94376449739059,0.006370495228333178,5.700948451749869,5.683626990442976,1.8043067964858412,0.9576032806985736,0.9304888047426221,2,0.0,0,4.579768724794307,4.476678509929791,0.10309021486451542,0.23523209765510034,2.927498810427441,3.052045405402758,10.559312940624507,9.95227771670556,False,2.189247072869438,4.748951133632578,0.0208055845604181,1.0,209.0706782180331,0.007149523922834619,5.668517725310045,5.668105605202065,1.7573791145322706,0.9576032806985736,0.12521394703211386,17,0.0,0,slsqp,True,0.003279417287558317,4.612915170364655,0.0,4.599024071887874,1.0,163.37657322066838,1.0,117.07353764040836,0.0032126656733453274,4.729660690807902,7.693995104293524,diagnostic_empirical_bayes,1.0,191.5875345744482,1.0,134.25733936931508,0.964,254.15209958685054,0.0975,16.499820282229777,0.9705,135.6626627814608,4.983497515697048
fixed_pilot,2,0,2002,40,30,70,2000,5,17,0.02,0.5,0.05,24,-210.0,210.0,0.0028882501646876335,0.005032124929130077,True,-0.6084318668970196,9.95227771670556,10.560709583602579,30,1.0,4.730992883204012,4.54268664973125,0.18830623347276187,0.0,1.6393365012728687,1.7500821204015053,8.120411504878385,8.120411504878385,True,3.7660273525955645,4.896911616374031,0.021149085231203343,1.0,291.49290689062514,0.007010743683961458,5.863125753750152,5.859669168707217,1.4845178019033036,0.5,0.058823529411764705,17,0.16666666666666666,5,4.254158141455424,4.254158141455424,0.0,2.833213344056216,1.8234855243177335,2.2953703848259877,8.373014050599146,8.373014050599146,True,4.93944115697226,4.626442816658935,0.02235758446445944,0.97,102.79309831459197,0.005646294624309217,6.174810773527749,6.025521683170534,1.6128404367415665,0.8408964152537145,1.0,1,0.0,0,4.254158141455424,4.254158141455424,0.0,2.833213344056216,1.8234855243177335,2.2953703848259877,8.373014050599146,8.373014050599146,True,4.93944115697226,4.626442816658935,0.02235758446445944,0.97,102.79309831459197,0.005646294624309217,6.174810773527749,6.025521683170534,1.6128404367415665,0.8408964152537145,1.0,1,0.0,0,4.409391338575208,4.339581360682882,0.06980997789232646,0.48640606877001696,1.768492777430763,1.7500821204015053,7.927966236407477,7.927966236407477,True,3.7660273525955645,4.693050545133456,0.02141114028161741,1.0,158.10137226750211,0.005801534138230496,5.8016196964138995,5.760698626725691,1.5098382362754554,0.8408964152537145,0.17166767230741073,17,0.0,0,slsqp,True,0.004168916027992964,4.591408806153875,0.0,4.577540165360526,1.0,147.6025838638162,1.0,105.77010104418031,0.004130791872739792,4.6590197085457214,12.000405104668015,diagnostic_empirical_bayes,1.0,174.23660878707324,1.0,121.29000117621382,0.918,216.36353734500352,0.082,14.008598356551298,0.9585,128.52467694203028,4.985371549864072
