problem,size,seed,method,n_rows,n_units,n_params,units_per_param,failed,fit_time,rmse,coverage_95.45,width_95.45,coverage_99.9,width_99.9,interval_score,nll,zero_density,nll_floor,bound,trivial_bound,lam,empirical,monte_carlo,kl,complexity,concentration,mixture_empirical,outside_support_fraction,pac_test_risk,pvi_lam,converged,n_nonfinite
quartic,10.0,1,PVI (lamb=1),10,10,5,2.0,False,1.840028916951269,107.84904604997712,0.81,137.23510798833368,0.8385,225.78761976625944,1215.6338410538676,6.742381685206754,0.0,5.759278796709332,,,,,,,,,,,,1.0,True,
quartic,10.0,1,POPS ellipse (free center),10,10,5,2.0,False,0.0059625841677188,86.7287042669507,0.7,407.02729992037257,0.7255,525.3531381257889,739.1000213148959,inf,0.2655,6.71159809940073,,,,,,,,,,,,,,
quartic,10.0,1,Ellipse+EB (free center),10,10,5,2.0,False,0.0066035841591656,87.8552904845843,0.7665,491.4954902355691,0.794,689.4776677598327,611.9231649449241,inf,0.191,6.519393993102318,,,,,,,,,,,,,,
quartic,10.0,1,Ellipse+PAC (free center),10,10,5,2.0,False,0.3241903753951192,2277.5454902719475,0.8435,11278.804139426067,0.8945,15984.70490115324,11630.04203803822,7.50980283697066,0.0,7.148863483312826,9.68033573867415,9.680344001221918,2.8125,7.007541733292088,0.0397934551794271,12.912244080651416,2.6330005502026355,0.0,6.8992185310048,0.0544749999999999,,,,
quartic,10.0,2,Bayesian ridge,10,10,5,2.0,False,0.0037402082234621,200.04427192763515,0.235,168.0405337497234,0.503,276.4705963056278,1300.7230922944275,26.69330715320345,0.0,8.12296947784723,,,,,,,,,,,,,,
quartic,10.0,2,POPS hypercube,10,10,5,2.0,False,0.1443132078275084,200.04427192763515,0.4405,341.2524053020853,0.5465,467.55959216896935,4054.6770370500376,,,,,,,,,,,,,,,,,
quartic,10.0,2,POPS ellipse,10,10,5,2.0,False,0.0038624587468802,200.04427192763484,0.7855,276.99326278550444,0.829,357.5172473014323,723.5297729258945,inf,0.168,6.006175266222845,,,,,,,,,,,,,,
quartic,10.0,2,Ellipse+EB,10,10,5,2.0,False,0.0050034578889608,200.04427192763484,0.8435,900.5594862430554,0.8945,1524.0892758568498,1159.1533055026712,6.127581115979123,0.0,5.902369715386506,,,,,,,,,,,,,,
quartic,10.0,2,Ellipse+PAC,10,10,5,2.0,False,0.0762853748165071,326.41546454211107,1.0,6188.188686817326,1.0,9237.803543122543,6188.188686817326,5.962015344952855,0.0,5.904660578199492,9.4836327827683,9.680344001221918,1.5625,5.205831479726628,0.0335905528486166,0.0098396746570295,4.244210750193056,0.0,5.191881191949906,0.0001,5.860256975424063,,,
quartic,10.0,2,Bayesian stacking,10,10,5,2.0,False,0.0068969158455729,62.369172338251296,0.597,217.81946590533343,0.781,430.53295569191033,659.4464270838058,7.350335398903359,0.0,6.153254347361542,,,,,,,,,,,,,,
quartic,10.0,2,PVI,10,10,5,2.0,False,1.3472076659090817,69.66515966817558,0.6185,61.217639490212875,0.7215,100.71901651710836,1073.3082971292592,9.206672103620445,0.0,6.092200352316233,,,,,,,,,,,,0.0,True,
quartic,10.0,2,PVI (lamb=1),10,10,5,2.0,False,1.843692666850984,72.0963705901061,0.607,63.95069955306694,0.723,105.21561462028836,1092.061747716012,8.899022293994218,0.0,6.085629590194844,,,,,,,,,,,,1.0,True,
quartic,10.0,2,POPS ellipse (free center),10,10,5,2.0,False,0.0026468327268958,193.8219276472923,0.658,252.36152436267227,0.7195,325.72488084232737,845.6727436081118,inf,0.277,6.503017309543624,,,,,,,,,,,,,,
quartic,10.0,2,Ellipse+EB (free center),10,10,5,2.0,False,0.0032442077063024,191.3920074950754,0.765,724.0664449896011,0.8555,1175.8264321211675,1126.7593935078364,inf,0.0835,5.968934466210863,,,,,,,,,,,,,,
quartic,10.0,2,Ellipse+PAC (free center),10,10,5,2.0,False,0.3016084576956928,3055.241239689818,1.0,17802.8537962238,1.0,28327.598734031097,17802.8537962238,6.9321050699004845,0.0,6.6783282282184855,9.669228920708342,9.680344001221918,3.125,6.3457676505029035,0.0497462591426077,8.19708154307276,3.273715011062832,0.0,6.1401988377107735,0.050475,,,,
quartic,10.0,3,Bayesian ridge,10,10,5,2.0,False,0.0042103333398699,48.82901684033558,0.243,36.674295992155606,0.374,60.33880192943057,822.9459964730307,211.65147485464124,0.0,8.2523114073395,,,,,,,,,,,,,,
quartic,10.0,3,POPS hypercube,10,10,5,2.0,False,0.1463701669126749,48.82901684033558,0.7825,239.02681221107105,0.96,328.99190359799996,270.76939268849617,,,,,,,,,,,,,,,,,
quartic,10.0,3,POPS ellipse,10,10,5,2.0,False,0.0046839169226586,48.82901684033557,0.9925,131.37241192010447,1.0,169.56334103113616,133.8229718745441,4.633497533497607,0.0,4.638605457117957,,,,,,,,,,,,,,
quartic,10.0,3,Ellipse+EB,10,10,5,2.0,False,0.0039768330752849,48.82901684033558,1.0,158.63468368309452,1.0,236.2874446271963,158.63468368309452,4.70420048510045,0.0,4.709319265031566,,,,,,,,,,,,,,
quartic,10.0,3,Ellipse+PAC,10,10,5,2.0,False,0.0753467502072453,57.89868040685366,1.0,2291.5259977258365,1.0,5101.343766335431,2291.5259977258365,5.111945133803042,0.0,5.112685690117907,9.612300392114548,9.680344001221918,2.5,6.099330063131196,0.0423935101608739,0.3366159800818586,3.4705768188224773,0.0,6.050901930779654,0.001475,5.113555747735471,,,
quartic,10.0,3,Bayesian stacking,10,10,5,2.0,False,0.0074142920784652,44.350022858564984,0.7985,100.29007131233712,0.993,166.5552015158454,201.2231223064766,5.105841530875075,0.0,5.096872169791805,,,,,,,,,,,,,,
quartic,10.0,3,PVI,10,10,5,2.0,False,1.336408957839012,58.57619837160654,0.9265,121.00576549043105,0.976,199.08610973222105,325.81002735527045,5.095609359856298,0.0,5.031445156340146,,,,,,,,,,,,0.0,True,
quartic,10.0,3,PVI (lamb=1),10,10,5,2.0,False,1.8691132082603872,57.36329170851432,0.925,116.28966773650082,0.9725,191.32689634977208,339.7240297371445,5.143160060443095,0.0,5.050157579568613,,,,,,,,,,,,1.0,True,
quartic,10.0,3,POPS ellipse (free center),10,10,5,2.0,False,0.0058511672541499,77.77763185196676,0.741,107.5523107278754,0.839,138.8185607319781,423.10523048296886,inf,0.131,5.366121234684911,,,,,,,,,,,,,,
quartic,10.0,3,Ellipse+EB (free center),10,10,5,2.0,False,0.0071377079002559,77.15870339952069,0.8925,144.88493031408552,1.0,218.35693408049335,231.06029865339508,4.794136163510986,0.0,4.793180894849689,,,,,,,,,,,,,,
